  just opened iu,energy_spread_in_name= 11 energy_spread.in
  about to do namelist read  u= 11
 seed=    43401053
 i_sqrts=         500
 n_single_file=           1
 single_file_name=
 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
  
  ifile,grid_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.grd                                              
  ifile,hbook_file= 1 ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.hbk                                              
  
  ifile= 1  about to open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 ifile,nrec,ndiv= 1 542852 100
  ifile= 1  about to again open ../ilc_0500_may05_run05_seed06_lumi/lumi_b59x_0123.dat                                              
 i,egev(:,i= 19500 252.192535 247.710236
 i,egev(:,i= 19600 252.610748 252.610046
 i,egev(:,i= 19700 252.637573 252.466492
 i,egev(:,i= 19800 216.979721 252.151398
 i,egev(:,i= 19900 252.379150 252.476410
 i,egev(:,i= 20000 252.568130 252.585876
 i,egev(:,i= 20100 253.000870 252.729691
 i,egev(:,i= 20200 249.033478 252.710190
 i,egev(:,i= 20300 250.477463 248.644653
 i,egev(:,i= 20400 251.972702 252.745529
 i,egev(:,i= 20500 252.513474 249.149689
 i,egev(:,i= 20600 252.693954 252.025223
 i,egev(:,i= 20700 252.713013 252.411545
 i,egev(:,i= 20800 253.269409 252.582809
 i,egev(:,i= 20900 252.225677 252.672333
 i,egev(:,i= 21000 253.107697 252.749176
 i,egev(:,i= 21100 252.188232 252.739029
 i,egev(:,i= 21200 252.423248 252.599899
 i,egev(:,i= 21300 252.517075 252.484833
 i,egev(:,i= 21400 251.119507 252.573624
 i,egev(:,i= 21500 252.425034 252.917603
 i,egev(:,i= 21600 250.144455 252.282516
 i,egev(:,i= 21700 252.440079 252.830231
 i,egev(:,i= 21800 247.642136 252.775131
 i,egev(:,i= 21900 252.154648 252.704208
 i,egev(:,i= 22000 252.550003 252.688965
 i,egev(:,i= 22100 252.634857 252.505661
 i,egev(:,i= 22200 252.557022 252.889191
 i,egev(:,i= 22300 252.812363 253.116852
 i,egev(:,i= 22400 252.354034 252.919708
 i,egev(:,i= 22500 252.347458 252.764633
 i,egev(:,i= 22600 252.441116 245.686554
 i,egev(:,i= 22700 252.800980 252.873199
 i,egev(:,i= 22800 247.429260 250.043945
 i,egev(:,i= 22900 252.235580 252.724426
 i,egev(:,i= 23000 249.614395 252.544388
 i,egev(:,i= 23100 252.028519 252.288986
 i,egev(:,i= 23200 252.515854 252.139008
 i,egev(:,i= 23300 253.566467 252.645767
 i,egev(:,i= 23400 251.792557 252.745422
 i,egev(:,i= 23500 252.484100 252.574829
 i,egev(:,i= 23600 252.404129 249.283127
 i,egev(:,i= 23700 249.496979 252.666138
 i,egev(:,i= 23800 252.614838 252.801590
 i,egev(:,i= 23900 252.025131 252.124969
 i,egev(:,i= 24000 253.344345 252.877838
 i,egev(:,i= 24100 253.005920 252.768234
 i,egev(:,i= 24200 252.685333 252.576385
 i,egev(:,i= 24300 252.863510 252.809387
 i,egev(:,i= 24400 253.239029 248.536285
 i,egev(:,i= 24500 246.862839 252.517929
 i,egev(:,i= 24600 252.508286 252.831177
 i,egev(:,i= 24700 253.076263 252.793198
 i,egev(:,i= 24800 252.953568 252.785919
 i,egev(:,i= 24900 252.304916 252.651550
 i,egev(:,i= 25000 252.669952 252.726639
 i,egev(:,i= 25100 252.797791 252.816055
 i,egev(:,i= 25200 252.738129 252.774429
 i,egev(:,i= 25300 252.872070 252.835083
 i,egev(:,i= 25400 252.996429 243.044662
 i,egev(:,i= 25500 252.784195 251.751724
 i,egev(:,i= 25600 251.521988 252.647324
 i,egev(:,i= 25700 252.454620 250.625351
 i,egev(:,i= 25800 252.221512 249.943970
 i,egev(:,i= 25900 252.029602 252.572739
 i,egev(:,i= 26000 252.419800 225.213547
 i,egev(:,i= 26100 252.320999 245.412476
 i,egev(:,i= 26200 252.777252 252.333084
 i,egev(:,i= 26300 240.011566 252.592331
 i,egev(:,i= 26400 253.389877 252.586273
 i,egev(:,i= 26500 251.541855 252.504486
 i,egev(:,i= 26600 247.799026 252.512589
 i,egev(:,i= 26700 252.468994 252.607681
 i,egev(:,i= 26800 252.554626 252.504211
 i,egev(:,i= 26900 252.434921 252.695099
 i,egev(:,i= 27000 252.635345 252.763092
 i,egev(:,i= 27100 252.781448 245.993652
 i,egev(:,i= 27200 252.523712 229.803589
 i,egev(:,i= 27300 252.106232 252.628860
 i,egev(:,i= 27400 252.327774 252.609024
 i,egev(:,i= 27500 252.457870 252.539062
 i,egev(:,i= 27600 253.003326 252.676025
 i,egev(:,i= 27700 252.320541 252.688293
 i,egev(:,i= 27800 252.279388 252.640015
 i,egev(:,i= 27900 252.606277 252.676407
 i,egev(:,i= 28000 253.022308 252.778015
 i,egev(:,i= 28100 253.014099 252.852127
 i,egev(:,i= 28200 252.599106 252.862991
 i,egev(:,i= 28300 252.230591 252.576248
 i,egev(:,i= 28400 252.265167 244.184219
 i,egev(:,i= 28500 252.650864 252.503403
 i,egev(:,i= 28600 252.178543 252.593781
 i,egev(:,i= 28700 251.712280 250.108353
 i,egev(:,i= 28800 252.470749 252.338211
 i,egev(:,i= 28900 252.427536 251.350021
 i,egev(:,i= 29000 251.956482 252.675766
 i,egev(:,i= 29100 252.225647 251.334885
 i,egev(:,i= 29200 253.112198 252.707153
 i,egev(:,i= 29300 251.799591 252.107285
 i,egev(:,i= 29400 252.170486 252.583618
 i,egev(:,i= 29500 252.571365 252.374130
 i,egev(:,i= 29600 252.322296 252.554550
 i,egev(:,i= 29700 253.062088 252.366760
 i,egev(:,i= 29800 252.497726 252.401245
 i,egev(:,i= 29900 252.252991 252.513397
 i,egev(:,i= 30000 252.533340 252.523178
